chronic_diseas_name|chronic_diseas_slug
Болезни, характеризующиеся повышенным кровяным давлением|diseases-characterized-by-elevated-blood-pressure
Ишемическая болезнь сердца|ischemic-heart-disease
Наличие аортокоронарного шунтового трансплантата|presence-of-aortocoronary-bypass-graft
Наличие коронарного ангиопластического имплантата и трансплантата|presence-of-coronary-angioplasty-implant-and-graft
Сердечная недостаточность|heart-failure
Закупорка и стеноз сонной артерии липопротеинов и другие липидемии|carotid-artery-occlusion-stenosis-lipoproteins-other-lipidemias
Нарушения обмена липопротеинов и другие липидемии|lipoprotein-metabolism-disorders-other-lipidemias
Предиабет|prediabetes
Инсулиннезависимый сахарный диабет|type-2-diabetes-mellitus
"Последствия субарахноидального кровоизлияния, внутричерепного кровоизлияния, другого нетравматического внутричерепного кровоизлияния, последствия инфаркта мозга и инсульта, не уточненные как кровоизлияния или инфаркт мозга; Другие уточненные поражения сосудов мозга|sequelae-of-subarachnoid-hemorrhage-intracranial-hemorrhage-other-nontraumatic-intracranial-hemorrhage-cerebral-infarction-stroke-unspecified-other-specified-cerebrovascular-lesions"
Эзофагит|esophagitis
Гастроэзофагеальный рефлюкс с эзофагитом|gastroesophageal-reflux-disease-with-esophagitis
Язва желудка|gastric-ulcer
Язва двенадцатиперстной кишки |duodenal-ulcer
Полип желудка|gastric-polyp
Хронический панкреатит с внешнесекреторной недостаточностью|chronic-pancreatitis-with-exocrine-insufficiency
Рецидивирующий и хронический бронхиты|recurrent-and-chronic-bronchitis
"Хроническая обструктивная легочная болезнь с острой респираторной инфекцией нижних дыхательных путей; Другая уточненная хроническая обструктивная легочная болезнь; Хроническая обструктивная легочная болезнь неуточненная |chronic-obstructive-pulmonary-disease-with-acute-lower-respiratory-infection-other-specified-copd-copd-unspecified"
Бронхоэктатическая болезнь|bronchiectasis
Астма с преобладанием аллергического компонента|allergic-predominant-asthma
Неаллергическая астма|non-allergic-asthma
Смешанная астма|mixed-asthma
Астма неуточненная|asthma-unspecified
Состояние после перенесенной пневмонии|status-post-pneumonia
Интерстициальные заболевания легких|interstitial-lung-diseases
Состояние после перенесенной острой почечной недостаточности, пациенты в стабильном состоянии, с хронической почечной недостаточностью 1 стадии, а также пациенты, страдающие хронической болезнью почек (независимо от ее причины и стадии), в стабильном состоянии с хронической почечной недостаточностью 1 стадии|status-post-acute-renal-failure-stable-chronic-kidney-disease-stage-1-patients-with-ckd-any-cause-stage-1-stable
Хроническая болезнь почки неуточненная|chronic-kidney-disease-unspecified
Идиопатический остеопороз|idiopathic-osteoporosis
Хронический атрофический гастрит|chronic-atrophic-gastritis
Хронический гастрит неуточненный|chronic-gastritis-unspecified
Семейный полипоз толстой кишки|familial-adenomatous-polyposis-of-colon
Синдром Гартнера|gartner-syndrome
Синдром Пейца Егерса|peutz-jeghers-syndrome
Синдром Турко|turcot-syndrome
Полипы желудка и двенадцатиперстной кишки|polyps-of-stomach-and-duodenum
Полип прямой кишки|rectal-polyp
Болезнь Крона (регионарный энтерит)|crohns-disease-regional-enteritis
Язвенный колит|ulcerative-colitis
Ахалазия кардиальной части пищевода|achalasia-of-cardia
Непроходимость пищевода|esophageal-obstruction
Пищевод Барретта|barretts-esophagus
Алкогольный цирроз печени|alcoholic-liver-cirrhosis
Первичный билиарный цирроз, вторичный билиарный цирроз, билиарный цирроз неуточненный, другое и неуточненный цирроз печени|primary-biliary-cirrhosis-secondary-biliary-cirrhosis-biliary-cirrhosis-unspecified-other-and-unspecified-cirrhosis-of-liver
Гепатоцеллюлярная аденома|hepatocellular-adenoma
Полип желчного пузыря|gallbladder-polyp
"Хронические ревматические болезни сердца; Неревматические поражения митрального клапана, аортального клапана, трехстворчатого клапана, поражения клапана легочной артерии; Дефект перегородки сердца приобретенный, разрыв сухожилий хорды, не классифицированный в других рубриках, разрыв сосочковой мышцы, не классифицированный в других рубриках; Аневризма и расслоение аорты; Наличие протеза сердечного клапана, наличие ксеногенного сердечного клапана, наличие другого заменителя сердечного клапана, наличие других сердечных и сосудистых имплантатов и трансплантатов, наличие сердечного и сосудистого имплантата и трансплантата неуточненных |chronic-rheumatic-heart-diseases-nonrheumatic-mitral-aortic-tricuspid-pulmonary-valve-lesions-acquired-septal-defects-chordae-tendineae-rupture-papillary-muscle-rupture-unclassified-aortic-aneurysm-dissection-presence-of-prosthetic-heart-valve-xenogeneic-valve-other-cardiac-vascular-implants-grafts-unspecified"
Легочная эмболия|pulmonary-embolism
"Первичная легочная гипертензия; Другие болезни легочных сосудов с их соответствующим описанием; Другая вторичная легочная гипертензия; Другие уточненные формы легочносердечной недостаточности|primary-pulmonary-hypertension-other-pulmonary-vessel-diseases-secondary-pulmonary-hypertension-other-specified-pulmonary-heart-disease"
"Острый и подострый эндокардит; Эндокардит, клапан не уточнен, эндокардит и поражения клапанов сердца при болезнях, классифицированных в других рубриках|acute-and-subacute-endocarditis-endocarditis-valve-unspecified-endocarditis-and-valve-lesions-in-diseases-classified-elsewhere"
"Острый миокардит; Миокардит при болезнях, классифицированных в других рубриках; Миокардит неуточненный |acute-myocarditis-myocarditis-in-diseases-classified-elsewhere-myocarditis-unspecified"
Кардиомиопатия|cardiomyopathy
"Предсердно желудочковая [атриовентрикулярная] блокада и блокада левой ножки пучка [Гиса], другие нарушения проводимости, остановка сердца, пароксизмальная тахикардия, фибрилляция и трепетание предсердий, другие нарушения сердечного ритма; Наличие искусственного водителя сердечного ритма |atrioventricular-block-left-bundle-branch-block-conduction-disorders-cardiac-arrest-paroxysmal-tachycardia-atrial-fibrillation-flutter-other-arrhythmias-presence-of-cardiac-pacemaker"
Закупорка и стеноз сонной артерии|carotid-artery-occlusion-and-stenosis
Врожденные аномалии (пороки развития) системы кровообращения (Состояние после оперативного лечения врожденных аномалий [пороков развития] системы кровообращения)|congenital-malformations-of-circulatory-system-status-post-surgical-treatment-of-congenital-circulatory-anomalies
Хронический вирусный гепатит B и (или) хронический вирусный гепатит C|chronic-viral-hepatitis-b-and-or-c
Болезнь, вызванная вирусом иммунодефицита человека (ВИЧ)|human-immunodeficiency-virus-hiv-disease
Множественный эндокринный аденоматоз, тип I (МЭА-I, синдром Вернера) (Синдром множественной эндокринной неоплазии 1 типа (МЭН I))|multiple-endocrine-adenomatosis-type-1-mea-1-werner-syndrome-multiple-endocrine-neoplasia-type-1-men-1
Множественная эндокринная неоплазия тип 2A (Синдром Сиппла)|multiple-endocrine-neoplasia-type-2a-sipple-syndrome
Множественная эндокринная неоплазия тип 2B (Синдром Горлина) |multiple-endocrine-neoplasia-type-2b-gorlin-syndrome
Группа заболеваний с нарушением формирования пола (варианты дисгенезии гонад и синдромов резистентности к андрогенам)|disorders-of-sex-development-gonadal-dysgenesis-and-androgen-resistance-syndromes
Акромегалия|acromegaly
Нетоксический одноузловой зоб|nontoxic-uninodular-goiter
Нетоксический многоузловой зоб|nontoxic-multinodular-goiter
Тиреотоксикоз с токсическим одноузловым зобом|thyrotoxicosis-with-toxic-uninodular-goiter
Тиреотоксикоз с токсическим многоузловым зобом|thyrotoxicosis-with-toxic-multinodular-goiter
Аденома паращитовидной железы|parathyroid-adenoma
Первичный гиперпаратиреоз|primary-hyperparathyroidism
Аденома надпочечника|adrenal-adenoma
Туберозный склероз|tuberous-sclerosis
Доброкачественное новообразование больших слюнных желез |benign-neoplasm-of-major-salivary-glands
Полиостозная фиброзная дисплазия|polyostotic-fibrous-dysplasia
Папилломы, полипы мочевого пузыря|papillomas-polyps-of-bladder
Папилломы, полипы мочеиспускательного канала|papillomas-polyps-of-urethra
Сложные кисты почки|complex-renal-cysts
Ангиомиолипома почки|renal-angiomyolipoma
Простатическая интраэпителиальная неоплазия простаты|prostatic-intraepithelial-neoplasia
Поражения костно-мышечной системы после медицинских процедур на опорно-двигательном аппарате в связи с опухолевым и системным поражением|musculoskeletal-lesions-post-medical-procedures-for-tumor-and-systemic-musculoskeletal-disorders
Болезнь Педжета (костей) деформирующий остеит|pagets-disease-of-bone-deforming-osteitis
Солитарные и множественные остеохондромы|solitary-and-multiple-osteochondromas
Фиброзная дисплазия|fibrous-dysplasia
Энхондроматоз (дисхондроплазия, болезнь Оллье)|enchondromatosis-dyschondroplasia-olliers-disease
Доброкачественное новообразование глаза и его придаточного аппарата|benign-neoplasm-of-eye-and-adnexa
Доброкачественные новообразования кожи века, включая спайку век|benign-neoplasm-of-eyelid-skin-including-synechiae
Полип голосовой складки и гортани|vocal-cord-and-laryngeal-polyp
Папилломатоз, фиброматоз гортани|laryngeal-papillomatosis-fibromatosis
Доброкачественное новообразование трахеи|benign-neoplasm-of-trachea
Инвертированная папиллома полости носа|inverted-papilloma-of-nasal-cavity
Полип носа|nasal-polyp
Новообразование среднего уха|middle-ear-neoplasm
Доброкачественное новообразование миндалины|benign-neoplasm-of-tonsil
Доброкачественное новообразование других частей ротоглотки|benign-neoplasm-of-other-parts-of-oropharynx
Доброкачественное новообразование носоглотки|benign-neoplasm-of-nasopharynx
Доброкачественное новообразование гортаноглотки|benign-neoplasm-of-hypopharynx
Доброкачественное новообразование глотки неуточненной локализации|benign-neoplasm-of-pharynx-unspecified
Хронический ларингит и ларинготрахеит |chronic-laryngitis-and-laryngotracheitis
Хронический ринит, назофарингит, фарингит|chronic-rhinitis-nasopharyngitis-pharyngitis
Лейкоплакия и другие изменения эпителия полости рта, включая языка|leukoplakia-and-other-epithelial-changes-of-oral-cavity-including-tongue
Абразивный хейлит Манганотти, ограниченный гиперкератоз, бородавчатый предрак |manganottis-abrasive-cheilitis-limited-hyperkeratosis-verrucous-precancerous-lesions
Доброкачественное новообразование губы|benign-neoplasm-of-lip
Доброкачественное новообразование языка|benign-neoplasm-of-tongue
Доброкачественное новообразование дна полости рта|benign-neoplasm-of-floor-of-mouth
Доброкачественное новообразование других неуточненных частей рта|benign-neoplasm-of-other-unspecified-parts-of-mouth
Меланоз полости рта|oral-melanosis
Красный плоский лишай (плоский лишай слизистой оболочки рта) |lichen-planus-oral-mucosa
Синдром диспластических невусов, синдром FAMM (семейный синдром атипических множественных невусов), синдром FAMMM (семейный синдром атипических множественных невусов с меланомой)|dysplastic-nevus-syndrome-famm-syndrome-fammm-syndrome
Врожденные гигантские и крупные невусы|congenital-giant-and-large-nevi
Невус Ядассона, синдром Горлина-Гольца, синдром Базекса, синдром Рембо|jadassohn-nevus-gorlin-goltz-syndrome-bazex-syndrome-rombo-syndrome
Актинический кератоз|actinic-keratosis
Эруптивный себорейный кератоз (как проявление фотоповреждения кожи)|eruptive-seborrheic-keratosis-as-manifestation-of-photoaging
Ксеродерма пигментная|xeroderma-pigmentosum
Полипы шейки матки и эндометрия|cervical-and-endometrial-polyps
Синдром поликистоза яичников |polycystic-ovary-syndrome
Лейкоплакия шейки матки|cervical-leukoplakia
Железистая гиперплазия эндометрия|endometrial-glandular-hyperplasia
Аденоматозная гиперплазия эндометрия|endometrial-adenomatous-hyperplasia
Умеренная дисплазия шейки матки Цервикальная интраэпителиальная неоплазия (CIN) II степени |moderate-cervical-dysplasia-cervical-intraepithelial-neoplasia-cin-grade-2
Резко выраженная дисплазия шейки матки, не классифицированная в других рубриках Цервикальная интраэпителиальная неоплазия (CIN) III степени |severe-cervical-dysplasia-not-elsewhere-classified-cervical-intraepithelial-neoplasia-cin-grade-3
Новообразования неопределенного или неизвестного характера яичника|neoplasm-of-uncertain-or-unknown-behavior-of-ovary
Доброкачественное новообразование молочной железы |benign-neoplasm-of-breast
Доброкачественная дисплазия молочной железы|benign-breast-dysplasia
